epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9459,1.70068,2.92763,1.80324,0.20606,0.41979,0.2306,0.09648,1.89945,3.51425,1.98613,0.000331845,0.000331845,0.000331845
2,125.751,1.62647,2.24504,1.70195,0.50138,0.33265,0.25576,0.11162,1.94688,3.90891,2.07709,0.000652008,0.000652008,0.000652008
3,176.87,1.64474,2.17826,1.7223,0.43957,0.39017,0.26583,0.11971,1.89467,2.83509,2.01573,0.000958971,0.000958971,0.000958971
4,227.432,1.61104,2.01164,1.70361,0.32432,0.46595,0.30591,0.13967,1.80307,2.58175,1.90706,0.0009406,0.0009406,0.0009406
5,278.909,1.56649,1.89539,1.65696,0.45956,0.4814,0.32762,0.15521,1.80226,2.31227,1.92114,0.0009208,0.0009208,0.0009208
6,330.173,1.51923,1.81308,1.62315,0.52352,0.52376,0.4062,0.21428,1.59484,2.14589,1.72779,0.000901,0.000901,0.000901
7,379.349,1.52375,1.76705,1.62269,0.31849,0.47178,0.35826,0.17892,1.60583,2.33728,1.75519,0.0008812,0.0008812,0.0008812
8,427.985,1.50112,1.71237,1.60225,0.55358,0.46716,0.39528,0.20188,1.6199,2.23984,1.73589,0.0008614,0.0008614,0.0008614
9,475.078,1.47969,1.67927,1.58877,0.3753,0.5959,0.41147,0.20988,1.61836,2.18096,1.72836,0.0008416,0.0008416,0.0008416
10,526.366,1.47509,1.61585,1.57778,0.38023,0.55671,0.39833,0.21057,1.5441,2.16045,1.72194,0.0008218,0.0008218,0.0008218
11,577,1.4675,1.61196,1.59058,0.53211,0.50159,0.40901,0.20852,1.55916,2.18676,1.72026,0.000802,0.000802,0.000802
12,626.151,1.4614,1.62641,1.58175,0.33448,0.52089,0.39398,0.20729,1.56351,2.09916,1.68553,0.0007822,0.0007822,0.0007822
13,674.341,1.45773,1.62456,1.59715,0.54368,0.5304,0.42608,0.2197,1.58037,2.05787,1.71657,0.0007624,0.0007624,0.0007624
14,723.645,1.44093,1.53856,1.56244,0.45572,0.57406,0.45265,0.23729,1.54505,2.04361,1.70877,0.0007426,0.0007426,0.0007426
15,771.336,1.41624,1.51615,1.54761,0.38763,0.61484,0.44068,0.24391,1.47181,1.97085,1.6178,0.0007228,0.0007228,0.0007228
16,821.837,1.43686,1.54584,1.56235,0.55243,0.55992,0.42221,0.22784,1.53717,2.17677,1.65312,0.000703,0.000703,0.000703
17,870.307,1.41021,1.52022,1.53802,0.50935,0.53932,0.42532,0.22219,1.56964,2.02557,1.63949,0.0006832,0.0006832,0.0006832
18,913.615,1.40732,1.49064,1.54123,0.49734,0.60914,0.45088,0.24705,1.46095,1.95186,1.59194,0.0006634,0.0006634,0.0006634
19,954.23,1.39272,1.4765,1.53336,0.55589,0.58614,0.46349,0.25558,1.45436,1.94612,1.6204,0.0006436,0.0006436,0.0006436
20,995.033,1.39152,1.48114,1.5347,0.45242,0.63243,0.45721,0.25356,1.45904,1.89692,1.59004,0.0006238,0.0006238,0.0006238
21,1035.82,1.3856,1.45557,1.52314,0.40816,0.65879,0.45145,0.24454,1.46596,1.9228,1.61768,0.000604,0.000604,0.000604
22,1077.2,1.38261,1.46096,1.52538,0.38264,0.66494,0.45444,0.25505,1.4549,2.03361,1.59283,0.0005842,0.0005842,0.0005842
23,1118.26,1.37203,1.41468,1.51208,0.42832,0.6551,0.47247,0.2676,1.44311,1.86681,1.55983,0.0005644,0.0005644,0.0005644
24,1159.64,1.36916,1.38873,1.50152,0.41789,0.63585,0.46397,0.255,1.48133,1.90735,1.57751,0.0005446,0.0005446,0.0005446
25,1200.94,1.34901,1.39439,1.50146,0.4232,0.65612,0.45985,0.24707,1.46218,1.82103,1.59495,0.0005248,0.0005248,0.0005248
26,1242.08,1.3603,1.39526,1.50892,0.42956,0.62389,0.45994,0.24473,1.49796,2.00158,1.63412,0.000505,0.000505,0.000505
27,1282.97,1.3463,1.3743,1.4952,0.4281,0.66888,0.48486,0.27545,1.43899,1.83429,1.56964,0.0004852,0.0004852,0.0004852
28,1324.23,1.36447,1.38061,1.49611,0.45296,0.60259,0.47584,0.27043,1.43886,1.85001,1.56407,0.0004654,0.0004654,0.0004654
29,1365.78,1.35219,1.37887,1.5046,0.44983,0.66545,0.47797,0.27418,1.41095,1.82256,1.5779,0.0004456,0.0004456,0.0004456
30,1408.32,1.31314,1.34334,1.4739,0.4751,0.60448,0.4589,0.26678,1.43248,1.82416,1.58205,0.0004258,0.0004258,0.0004258
31,1446.49,1.31516,1.31974,1.47311,0.46757,0.66461,0.48859,0.28984,1.38297,1.72306,1.54981,0.000406,0.000406,0.000406
32,1483.55,1.2999,1.31801,1.47089,0.41962,0.69032,0.47746,0.28537,1.37901,1.85035,1.54026,0.0003862,0.0003862,0.0003862
33,1520.29,1.31862,1.31115,1.46614,0.45463,0.65341,0.49181,0.28175,1.42775,1.73826,1.56119,0.0003664,0.0003664,0.0003664
34,1556.66,1.29865,1.30975,1.45876,0.41812,0.70794,0.49282,0.29413,1.34349,1.73495,1.5228,0.0003466,0.0003466,0.0003466
35,1593.42,1.28441,1.25693,1.44504,0.44235,0.64894,0.48964,0.29697,1.35175,1.73135,1.52579,0.0003268,0.0003268,0.0003268
36,1630.15,1.2793,1.27475,1.45064,0.4587,0.66392,0.49369,0.29572,1.35091,1.70786,1.53523,0.000307,0.000307,0.000307
37,1667.55,1.26474,1.25769,1.43447,0.4464,0.68929,0.49838,0.30192,1.32473,1.73432,1.50341,0.0002872,0.0002872,0.0002872
38,1705.94,1.27416,1.24667,1.44557,0.44764,0.68813,0.50106,0.30578,1.33277,1.70867,1.50931,0.0002674,0.0002674,0.0002674
39,1744.51,1.28505,1.26955,1.44941,0.42659,0.71583,0.50141,0.31088,1.33112,1.65723,1.49047,0.0002476,0.0002476,0.0002476
